id,status,transactions,cost_currency,fee_bth,security_extra_currency
medium-p100-u0.01-d30,evaluated,8640.00,634.02902400000,0.00073382988888888888888888888888888888888888888888889,2400
medium-p100-u0.01-d365,evaluated,8640.00,636.11299200000,0.00073624188888888888888888888888888888888888888888889,2400
medium-p100-u0.1-d30,evaluated,86400.0,653.0102400000,0.000075579888888888888888888888888888888888888888888889,2400
medium-p100-u0.1-d365,evaluated,86400.0,673.8499200000,0.000077991888888888888888888888888888888888888888888889,2400
medium-p100-u0.8-d30,evaluated,691200.0,800.6419200000,0.000011583361111111111111111111111111111111111111111111,2400
medium-p100-u0.8-d365,evaluated,691200.0,967.3593600000,0.000013995361111111111111111111111111111111111111111111,2400
high-p0.01-u0-d30,evaluated,0,6319.200000000,,24000
high-p0.01-u0-d365,evaluated,0,6319.200000000,,24000
high-p0.01-u0.01-d30,evaluated,8640.00,6340.29024000000,73.382988888888888888888888888888888888888888888889,24000
high-p0.01-u0.01-d365,evaluated,8640.00,6361.12992000000,73.624188888888888888888888888888888888888888888889,24000
high-p0.01-u0.1-d30,evaluated,86400.0,6530.1024000000,7.5579888888888888888888888888888888888888888888889,24000
high-p0.01-u0.1-d365,evaluated,86400.0,6738.4992000000,7.7991888888888888888888888888888888888888888888889,24000
high-p0.01-u0.8-d30,evaluated,691200.0,8006.4192000000,1.1583361111111111111111111111111111111111111111111,24000
high-p0.01-u0.8-d365,evaluated,691200.0,9673.5936000000,1.3995361111111111111111111111111111111111111111111,24000
high-p1-u0-d30,evaluated,0,6319.200000000,,24000
high-p1-u0-d365,evaluated,0,6319.200000000,,24000
high-p1-u0.01-d30,evaluated,8640.00,6340.29024000000,0.73382988888888888888888888888888888888888888888889,24000
high-p1-u0.01-d365,evaluated,8640.00,6361.12992000000,0.73624188888888888888888888888888888888888888888889,24000
high-p1-u0.1-d30,evaluated,86400.0,6530.1024000000,0.075579888888888888888888888888888888888888888888889,24000
high-p1-u0.1-d365,evaluated,86400.0,6738.4992000000,0.077991888888888888888888888888888888888888888888889,24000
high-p1-u0.8-d30,evaluated,691200.0,8006.4192000000,0.011583361111111111111111111111111111111111111111111,24000
high-p1-u0.8-d365,evaluated,691200.0,9673.5936000000,0.013995361111111111111111111111111111111111111111111,24000
high-p100-u0-d30,evaluated,0,6319.200000000,,24000
high-p100-u0-d365,evaluated,0,6319.200000000,,24000
high-p100-u0.01-d30,evaluated,8640.00,6340.29024000000,0.0073382988888888888888888888888888888888888888888889,24000
high-p100-u0.01-d365,evaluated,8640.00,6361.12992000000,0.0073624188888888888888888888888888888888888888888889,24000
high-p100-u0.1-d30,evaluated,86400.0,6530.1024000000,0.00075579888888888888888888888888888888888888888888889,24000
high-p100-u0.1-d365,evaluated,86400.0,6738.4992000000,0.00077991888888888888888888888888888888888888888888889,24000
high-p100-u0.8-d30,evaluated,691200.0,8006.4192000000,0.00011583361111111111111111111111111111111111111111111,24000
high-p100-u0.8-d365,evaluated,691200.0,9673.5936000000,0.00013995361111111111111111111111111111111111111111111,24000
