id,payment_bth,supplied_fraction,fee_bth,fee_payment_ratio,total_spend_bth,minimum_payment_at_supplied_fraction_bth,within_supplied_fraction
small-p0.01-u0.8-d365,0.01,0.001,0.013995361111111111111111111111111111111111111111111,1.399536111111111111111111111,0.02399536111111111111111111111,13.99536111111111111111111111,False
small-p0.01-u0.8-d365,0.01,0.01,0.013995361111111111111111111111111111111111111111111,1.399536111111111111111111111,0.02399536111111111111111111111,1.399536111111111111111111111,False
small-p0.01-u0.8-d365,0.01,0.1,0.013995361111111111111111111111111111111111111111111,1.399536111111111111111111111,0.02399536111111111111111111111,0.1399536111111111111111111111,False
small-p0.01-u0.8-d365,1,0.001,0.013995361111111111111111111111111111111111111111111,0.01399536111111111111111111111,1.013995361111111111111111111,13.99536111111111111111111111,False
small-p0.01-u0.8-d365,1,0.01,0.013995361111111111111111111111111111111111111111111,0.01399536111111111111111111111,1.013995361111111111111111111,1.399536111111111111111111111,False
small-p0.01-u0.8-d365,1,0.1,0.013995361111111111111111111111111111111111111111111,0.01399536111111111111111111111,1.013995361111111111111111111,0.1399536111111111111111111111,True
small-p0.01-u0.8-d365,100,0.001,0.013995361111111111111111111111111111111111111111111,0.0001399536111111111111111111111,100.0139953611111111111111111,13.99536111111111111111111111,True
small-p0.01-u0.8-d365,100,0.01,0.013995361111111111111111111111111111111111111111111,0.0001399536111111111111111111111,100.0139953611111111111111111,1.399536111111111111111111111,True
small-p0.01-u0.8-d365,100,0.1,0.013995361111111111111111111111111111111111111111111,0.0001399536111111111111111111111,100.0139953611111111111111111,0.1399536111111111111111111111,True
small-p1-u0.01-d30,0.01,0.001,0.0073382988888888888888888888888888888888888888888889,0.7338298888888888888888888889,0.01733829888888888888888888889,7.338298888888888888888888889,False
small-p1-u0.01-d30,0.01,0.01,0.0073382988888888888888888888888888888888888888888889,0.7338298888888888888888888889,0.01733829888888888888888888889,0.7338298888888888888888888889,False
small-p1-u0.01-d30,0.01,0.1,0.0073382988888888888888888888888888888888888888888889,0.7338298888888888888888888889,0.01733829888888888888888888889,0.07338298888888888888888888889,False
small-p1-u0.01-d30,1,0.001,0.0073382988888888888888888888888888888888888888888889,0.007338298888888888888888888889,1.007338298888888888888888889,7.338298888888888888888888889,False
small-p1-u0.01-d30,1,0.01,0.0073382988888888888888888888888888888888888888888889,0.007338298888888888888888888889,1.007338298888888888888888889,0.7338298888888888888888888889,True
small-p1-u0.01-d30,1,0.1,0.0073382988888888888888888888888888888888888888888889,0.007338298888888888888888888889,1.007338298888888888888888889,0.07338298888888888888888888889,True
